 ------------------------------------------------- ---------- -------- ------ --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- ------------------------------------------------------ 
  Name                                              Method     Scheme   Host   Path                                                                                                                                                                                                                                                                                                      Controller                                            
  app_merchant                                      ANY        ANY      ANY    /merchant                                                                                                                                                                                                                                                                                                 AppBundle:Merchant:index                              
  app_merchant_grid                                 ANY        ANY      ANY    /merchantGrid                                                                                                                                                                                                                                                                                             AppBundle:Merchant:indexGrid                          
  app_merchant_add                                  ANY        ANY      ANY    /merchant/add                                                                                                                                                                                                                                                                                             AppBundle:Merchant:add                                
  app_merchant_update                               ANY        ANY      ANY    /merchant/update/{id}                                                                                                                                                                                                                                                                                     AppBundle:Merchant:update                             
  app_merchant_delete                               ANY        ANY      ANY    /merchant/delete/{id}                                                                                                                                                                                                                                                                                     AppBundle:Merchant:delete                             
  app_merchant_view                                 ANY        ANY      ANY    /merchant/view/{id}                                                                                                                                                                                                                                                                                       AppBundle:Merchant:view                               
  app_merchant_suAdmin_autocomplete                 ANY        ANY      ANY    /merchant/suAdminAutocomplete                                                                                                                                                                                                                                                                             AppBundle:Merchant:suAdminAutocomplete                
  app_merchant_moderate                             ANY        ANY      ANY    /merchant/moderate/{id}                                                                                                                                                                                                                                                                                   AppBundle:Merchant:moderate                           
  app_merchant_activate                             ANY        ANY      ANY    /merchant/activate/{id}                                                                                                                                                                                                                                                                                   AppBundle:Merchant:activate                           
  app_merchant_add_admin                            ANY        ANY      ANY    /merchant/admin/{id}                                                                                                                                                                                                                                                                                      AppBundle:Merchant:addAdmin                           
  app_merchant_delete_admin                         ANY        ANY      ANY    /merchant/{merchant}/admin/{id}/delete                                                                                                                                                                                                                                                                    AppBundle:Merchant:deleteAdmin                        
  app_reporting                                     ANY        ANY      ANY    /reporting                                                                                                                                                                                                                                                                                                AppBundle:Reporting:index                             
  app_reporting_grid                                ANY        ANY      ANY    /reportingGrid                                                                                                                                                                                                                                                                                            AppBundle:Reporting:indexGrid                         
  app_reporting_update                              ANY        ANY      ANY    /reporting/update/{id}                                                                                                                                                                                                                                                                                    AppBundle:Reporting:update                            
  app_work                                          ANY        ANY      ANY    /work                                                                                                                                                                                                                                                                                                     AppBundle:Work:index                                  
  app_work_grid                                     ANY        ANY      ANY    /workGrid                                                                                                                                                                                                                                                                                                 AppBundle:Work:indexGrid                              
  app_work_add                                      ANY        ANY      ANY    /work/add                                                                                                                                                                                                                                                                                                 AppBundle:Work:add                                    
  app_work_update                                   ANY        ANY      ANY    /work/update/{id}                                                                                                                                                                                                                                                                                         AppBundle:Work:update                                 
  app_work_delete                                   ANY        ANY      ANY    /work/delete/{id}                                                                                                                                                                                                                                                                                         AppBundle:Work:delete                                 
  app_interest                                      ANY        ANY      ANY    /interest                                                                                                                                                                                                                                                                                                 AppBundle:Interest:index                              
  app_interest_grid                                 ANY        ANY      ANY    /interestGrid                                                                                                                                                                                                                                                                                             AppBundle:Interest:indexGrid                          
  app_interest_add                                  ANY        ANY      ANY    /interest/add                                                                                                                                                                                                                                                                                             AppBundle:Interest:add                                
  app_interest_update                               ANY        ANY      ANY    /interest/update/{id}                                                                                                                                                                                                                                                                                     AppBundle:Interest:update                             
  app_interest_delete                               ANY        ANY      ANY    /interest/delete/{id}                                                                                                                                                                                                                                                                                     AppBundle:Interest:delete                             
